item_code,control_id,evidence_item_name,control_name,ma,evidence_type,sufficiency_criteria,evaluation_criteria,cscf_version,created_at
B6,2.10,Hardening baseline comparison,Application Hardening,M,Scan Report,"{
  ""sufficiency_criteria"": [
    ""SWIFT application settings compared to Alliance Security Guidance or vendor documentation"",
    ""Feature/service minimisation verified: unnecessary components disabled"",
    ""Default credential changes confirmed at application level"",
    ""Application-specific hardening rules checked"",
    ""Deviations from vendor guidance documented with justification""
  ]
}","{
  ""pass_if"": [
    ""Application config compared against vendor guidance"",
    ""Unnecessary features disabled"",
    ""Default credentials changed""
  ],
  ""fail_if"": [
    ""No vendor guidance comparison"",
    ""Default credentials still active""
  ],
  ""notes"": [
    ""B6→2.10 = comparison; B2→2.10 = actual config settings""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B6,6.2,Hardening baseline comparison,Software Integrity,M,Check Results,"{
  ""sufficiency_criteria"": [
    ""Provides the AUTHORIZED SOFTWARE BASELINE against which integrity checks (E4) are compared"",
    ""List of authorized/approved SWIFT software with: name, version, hash/checksum"",
    ""Unauthorized or unexpected software flagged"",
    ""Baseline established and version-controlled"",
    ""Change history showing authorized updates to baseline""
  ]
}","{
  ""pass_if"": [
    ""Authorized software list established with hashes"",
    ""Baseline version-controlled""
  ],
  ""fail_if"": [
    ""No authorized baseline exists""
  ],
  ""notes"": [
    ""B6 provides the BASELINE; E4 provides the ongoing INTEGRITY CHECKS. B6 is supporting evidence for 6.2, not primary.""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B7,4.2,MFA configuration,Multi-Factor Authentication,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""MFA implementation evidence per mandatory access point in v2025 (Control 4.2):"",
    ""1) OS administrators accessing SWIFT hosting systems: at jump server login or dedicated PC login"",
    ""2) End users accessing SWIFT applications: on messaging interface, communication interface, GUI, Swift/customer connector"",
    ""3) Remote user access: VPN authentication requiring MFA"",
    ""4) Access to virtualisation/cloud management console"",
    ""5) Access to new HSM"",
    ""6) Service provider application access (where applicable)"",
    ""Second factor type per access point: TOTP, RSA SecurID, Digipass, USB token, smart card, 3-Skey Digital, mobile app"",
    ""CRITICAL: Second factor device must be PHYSICALLY SEPARATE from first factor device"",
    ""MFA system authentication credentials stored within secure zone (not enterprise AD)"",
    ""Authentication factors individually assigned \u2014 no shared tokens"",
    ""Advisory scope in v2025: customer client connector GUI/OS access \u2014 not named as mandatory in Control 4.2"",
    ""Note (v2025): MFA for externally exposed firewalls is NOT a named mandatory requirement \u2014 added explicitly in v2026""
  ]
}","{
  ""pass_if"": [
    ""MFA configured at all 6 mandatory access points"",
    ""Second factor is on a physically separate device from the first factor"",
    ""Factors individually assigned \u2014 no shared tokens"",
    ""MFA system credentials stored within secure zone""
  ],
  ""fail_if"": [
    ""Any mandatory access point without MFA"",
    ""Both factors on the same device (app on same PC as password entry \u2014 non-compliant)"",
    ""Shared tokens or factors assigned to multiple users"",
    ""SSO configured without requiring a second factor""
  ],
  ""notes"": [
    ""MFA for externally exposed firewalls is not a named mandatory requirement in v2025 (added in v2026)"",
    ""Customer client connector MFA is advisory in v2025""
  ],
  ""cross_checks"": [
    ""MFA access points must align with C1 access control policy requirements""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B8,2.6,Operator session configuration,Operator Session Confidentiality,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Session timeout/inactivity lock-out settings per session type:"",
    ""- Application-level timeouts on SWIFT applications"",
    ""- OS-level screen lock on operator PCs and jump server"",
    ""- Remote session timeouts"",
    ""Timeout value: recommended ≤15 minutes inactivity"",
    ""Session recording configuration for privileged accounts (optional enhancement but recommended)"",
    ""Re-authentication requirements after timeout"",
    ""Concurrent session restrictions if configured""
  ]
}","{
  ""pass_if"": [
    ""Session timeout configured ≤15 minutes for all session types"",
    ""Screen lock on all operator PCs"",
    ""Re-authentication required after timeout""
  ],
  ""fail_if"": [
    ""No session timeout at any level"",
    ""Timeout >30 minutes"",
    ""Privileged sessions without recording (acceptable but noted)""
  ],
  ""notes"": [
    ""B8 = session behaviour config; B2 = application security; B3 = transport encryption""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C1,1.2,Access control policy,OS Privileged Account Control,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""Policy governing privileged account allocation and usage on all mandatory in-scope component types (v2025):"",
    ""\u2014 OS accounts on SWIFT servers and VMs"",
    ""\u2014 Dedicated operator PCs"",
    ""\u2014 Network devices protecting the secure zone"",
    ""\u2014 Virtualisation/cloud platform admin accounts"",
    ""\u2014 New HSM admin accounts"",
    ""Conditions for admin access defined: software install, configuration, maintenance, emergency only"",
    ""Duration limits: admin access limited to the duration of the activity"",
    ""Built-in/default admin account policy: restricted to emergency or controlled use only"",
    ""Individual admin accounts required \u2014 no shared admin accounts"",
    ""Logging requirement: all admin access logged per Control 6.4"",
    ""Physical control of admin passwords when recorded physically"",
    ""Note (v2025 advisory scope): customer client connectors, bridging servers, general-purpose operator PCs \u2014 advisory in-scope; policy inclusion is positive but not required for compliance""
  ]
}","{
  ""pass_if"": [
    ""Policy exists covering all mandatory in-scope component types for v2025"",
    ""Conditions for admin usage defined (when admin access is permitted)"",
    ""Built-in admin restricted to emergency/controlled use"",
    ""Individual accountability requirement stated""
  ],
  ""fail_if"": [
    ""No policy document exists"",
    ""Policy missing mandatory component types (e.g., network devices or HSM)"",
    ""No restriction on conditions for admin account usage""
  ],
  ""notes"": [
    ""Advisory scope items (customer client connectors, bridging servers, general-purpose PCs) noted positively if covered""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C1,1.3,Access control policy,Virtualisation/Cloud Platform Protection,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""Policy covering virtualisation/cloud platform access control"",
    ""Segregation of admin roles for platform management"",
    ""VM provisioning and decommissioning approval process"",
    ""Platform access restricted to authorised administrators only"",
    ""For cloud: shared responsibility delineation per CSCF Appendix G"",
    ""Cloud provider access governance requirements""
  ]
}","{
  ""pass_if"": [
    ""Platform access policy exists"",
    ""Admin role segregation defined"",
    ""Cloud shared responsibility addressed""
  ],
  ""fail_if"": [
    ""No virtualisation access policy"",
    ""No cloud shared responsibility model""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C1,2.6,Access control policy,Operator Session Confidentiality,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""Session management rules: encryption requirements for all operator sessions"",
    ""Session timeout policy: maximum inactivity period defined"",
    ""Remote access policy: VPN+MFA requirement for off-site access"",
    ""Session recording policy for privileged accounts"",
    ""Acceptable session types and protocols defined"",
    ""Browser-based GUI access rules""
  ]
}","{
  ""pass_if"": [
    ""Session encryption requirement documented"",
    ""Timeout period defined"",
    ""Remote access rules documented""
  ],
  ""fail_if"": [
    ""No session management policy"",
    ""No remote access policy""
  ],
  ""notes"": [
    ""C1 = policy governance; B2/B3/B8 = technical enforcement""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C1,4.2,Access control policy,Multi-Factor Authentication,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""MFA policy requirements for each mandatory access point per v2025 Control 4.2:"",
    ""\u2014 Dedicated operator PC login"",
    ""\u2014 Jump server and new HSM access"",
    ""\u2014 SWIFT application login (messaging interface, communication interface, GUI, Swift/customer connector)"",
    ""\u2014 Virtualisation/cloud management console access"",
    ""\u2014 Remote/VPN access"",
    ""\u2014 Service provider application access"",
    ""Approved second factor types listed (TOTP, hardware token, smart card, etc.)"",
    ""Same-device prohibition explicitly stated: second factor must be on a different physical device"",
    ""Individual factor assignment requirement stated"",
    ""Exception process for MFA bypass (if any) with approval workflow"",
    ""Note (v2025): MFA policy for externally exposed firewalls is NOT a named requirement \u2014 this is added in v2026"",
    ""Note (v2025): Customer client connector MFA is advisory in-scope""
  ]
}","{
  ""pass_if"": [
    ""MFA requirements per mandatory v2025 access point documented in policy"",
    ""Same-device prohibition explicitly stated"",
    ""Approved factor types listed""
  ],
  ""fail_if"": [
    ""No MFA policy document"",
    ""Same-device prohibition not addressed in policy"",
    ""MFA requirements missing for mandatory access points""
  ],
  ""cross_checks"": [
    ""Policy requirements must match B7 MFA technical implementation""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C1,5.1,Access control policy,Logical Access Control,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""Need-to-know principle: only operators with continuing requirement have zone access"",
    ""Least privilege: privileges tailored to individual needs; additional privileges temporary only"",
    ""Separation of duties: transaction submission ≠ approval; app admin ≠ security officer; network admin ≠ OS admin"",
    ""Four-eyes principle for sensitive operations on: messaging interface, communication interface, GUI, connectors, HSM, O2M, Secure Channel"",
    ""Account review mandate: at least annually (more frequently recommended)"",
    ""Joiner/mover/leaver (JML) process: prompt revocation when employee changes role or leaves"",
    ""Emergency access procedure: documented, logged, password changed after use"",
    ""Provider access: privileges promptly revoked when provider relationship ends""
  ]
}","{
  ""pass_if"": [
    ""All four principles documented (need-to-know, least privilege, SoD, four-eyes)"",
    ""Annual review mandate stated"",
    ""JML process defined"",
    ""Emergency access procedure documented""
  ],
  ""fail_if"": [
    ""Missing any of the four core principles"",
    ""No account review mandate"",
    ""No JML process"",
    ""No emergency access procedure""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C2,1.2,Privileged account inventory,OS Privileged Account Control,M,Spreadsheet,"{
  ""sufficiency_criteria"": [
    ""Complete list of ALL privileged accounts per in-scope SWIFT system:"",
    ""- Account name, system/hostname, account type (built-in admin, individual admin, service account)"",
    ""- OS type-specific: Windows (Enterprise Admins, Domain Admins, Local Admins), Linux (root, root group), Network (admin/root/cisco), HSM (admin), VM platform (super admin, root)"",
    ""Justification for each account: why it exists and requires admin privileges"",
    ""Last review date per account"",
    ""Owner/assignee per individual admin account"",
    ""Built-in admin accounts: marked as break-glass with controlled access documentation"",
    ""Service accounts: minimal privileges confirmed, no interactive login"",
    ""Third-party/provider admin accounts flagged""
  ]
}","{
  ""pass_if"": [
    ""Every in-scope system has its privileged accounts listed"",
    ""Each account has justification and owner"",
    ""Built-in admins marked as break-glass"",
    ""Review date within 12 months""
  ],
  ""fail_if"": [
    ""Systems with no accounts listed (compare to A2)"",
    ""Accounts without justification"",
    ""Shared admin accounts without individual accountability"",
    ""Stale accounts (last review >12 months)""
  ],
  ""cross_checks"": [
    ""Systems match A2 inventory; accounts align with C3 access list""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C3,5.1,User access list,Logical Access Control,M,Spreadsheet / Export,"{
  ""sufficiency_criteria"": [
    ""Complete list of ALL user accounts (not just privileged) across all in-scope SWIFT systems:"",
    ""\u2014 Account name, real name/employee ID, system/application, role assigned, access level"",
    ""Covers: OS accounts, SWIFT application accounts (messaging interface, GUI, connector), network device accounts, virtualisation platform accounts"",
    ""SwiftNet Online Operations Manager (O2M on swift.com) accounts included \u2014 named in v2025 Control 5.4 scope"",
    ""Access justified by job function (need-to-know principle demonstrated)"",
    ""Account status: active, disabled, locked"",
    ""Last login date tracked per account (to identify unused/dormant accounts)"",
    ""Inactive accounts (no login >90 days) addressed with explanation or removal"",
    ""External/contractor accounts separately identified with engagement end date"",
    ""Service accounts separately listed with purpose documentation""
  ]
}","{
  ""pass_if"": [
    ""All mandatory in-scope systems have user lists exported"",
    ""Every account has an assigned role and access justification"",
    ""O2M accounts on swift.com included in the access list"",
    ""External/contractor accounts identified with engagement end dates"",
    ""Inactive accounts (>90 days) reviewed and addressed""
  ],
  ""fail_if"": [
    ""Mandatory in-scope systems missing from user list"",
    ""Accounts without role assignment or justification"",
    ""Inactive accounts without explanation or removal action""
  ],
  ""cross_checks"": [
    ""Must cover all systems in A2 inventory"",
    ""O2M account management should cross-reference C8 credential storage""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A1,2.4A,Network architecture diagram,Back Office Data Flow Security,A,Diagram + Text,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.4A) \u2014 mandatory from v2026"",
    ""Back-office to secure zone data flow paths drawn on the diagram where available"",
    ""Bridging servers (middleware/file transfer) identified with network placement if deployed"",
    ""Direct flows vs indirect flows (through bridging servers) distinguishable where documented"",
    ""New flows (post-2025) vs legacy flows marked if applicable"",
    ""Each flow's boundary crossing point identified"",
    ""HSM connection flows shown if applicable"",
    ""SWIFT recommends starting identification of all back-office flows as preparation for v2026""
  ]
}","{
  ""pass_if"": [
    ""Back-office connectivity paths documented on diagram (advisory \u2014 not required for v2025 pass)"",
    ""Bridging servers identified with network placement if in use"",
    ""Direct vs indirect flow paths distinguishable where documented""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory"",
    ""If documented: bridging servers shown must match A2 inventory""
  ],
  ""notes"": [
    ""Advisory control in v2025 \u2014 mandatory from CSCF v2026"",
    ""Early documentation earns positive assessor credit in v2025""
  ],
  ""cross_checks"": [
    ""If bridging servers shown: must appear in A2 inventory"",
    ""Encryption per flow: confirmed in B3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C4,5.1,RBAC role definitions,Logical Access Control,M,Document / Config Export,"{
  ""sufficiency_criteria"": [
    ""Role definitions for ALL in-scope SWIFT applications and systems:"",
    ""- Messaging interface roles (operator, security officer, application admin)"",
    ""- Communication interface roles"",
    ""- GUI roles"",
    ""- Connector roles"",
    ""- OS roles"",
    ""- Network device roles"",
    ""- HSM roles"",
    ""Per role: permissions/privileges, access scope, data access level"",
    ""Separation of duties enforced in role design: transaction submit ≠ approve; app admin ≠ security officer"",
    ""Four-eyes principle enforced: sensitive operations require two separate roles"",
    ""Vendor role separation guidance followed (Alliance Security Guidance)"",
    ""Conflicting role combinations documented as prohibited""
  ]
}","{
  ""pass_if"": [
    ""Roles defined for all SWIFT application and system types"",
    ""SoD enforced in role design"",
    ""Four-eyes for sensitive operations"",
    ""Vendor guidance on role separation followed""
  ],
  ""fail_if"": [
    ""No role definitions"",
    ""Single role with both submit and approve"",
    ""No separation between admin and security officer""
  ],
  ""cross_checks"": [
    ""Roles must map to accounts in C2 and C3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C5,5.1,Quarterly access reviews,Logical Access Control,M,Review Records,"{
  ""sufficiency_criteria"": [
    ""Evidence of access review conducted at least annually (quarterly recommended):"",
    ""- Review date, scope (which systems/applications), reviewer name and authority"",
    ""- Review methodology: comparison of current access against approved roles"",
    ""Findings documented: accounts to remove, roles to adjust, exceptions to approve"",
    ""Actions taken after review: account removals, role changes, with completion dates"",
    ""Privileged account review: extra scrutiny with justification confirmation"",
    ""Provider account review: aligned with current engagement status"",
    ""Emergency account usage review: any emergency access reviewed and password changed"",
    ""Review covers: application accounts, OS accounts, and provider-delegated accounts""
  ]
}","{
  ""pass_if"": [
    ""Review conducted within last 12 months"",
    ""Scope covers all in-scope systems"",
    ""Findings documented with actions taken"",
    ""Privileged accounts reviewed with extra scrutiny""
  ],
  ""fail_if"": [
    ""No review evidence in last 12 months"",
    ""Review scope incomplete (missing systems)"",
    ""Findings identified but no remediation actions"",
    ""Emergency access not reviewed""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C6,5.1,Joiner/mover/leaver process,Logical Access Control,M,Process Document + Records,"{
  ""sufficiency_criteria"": [
    ""Documented JML process covering:"",
    ""- Joiner: account creation tied to approved role, approval workflow, provisioning timeline"",
    ""- Mover: access reviewed and adjusted when employee changes role, old access removed"",
    ""- Leaver: access promptly revoked across ALL SWIFT systems; tokens recalled; passwords changed if shared knowledge"",
    ""Provider JML: same process for third-party/contractor accounts"",
    ""Timeline standards: leaver access revoked within X days of departure"",
    ""Evidence of process execution: sample joiner/mover/leaver tickets with dates and actions"",
    ""Escalation process: what happens if access is not revoked on time"",
    ""Token recall process integrated with leaver process""
  ]
}","{
  ""pass_if"": [
    ""JML process documented for all three stages"",
    ""Provider accounts included in process"",
    ""Evidence of actual execution (sample tickets)"",
    ""Timely revocation (within defined SLA)""
  ],
  ""fail_if"": [
    ""No JML process documented"",
    ""No leaver revocation evidence"",
    ""Leaver accounts still active after departure date""
  ],
  ""cross_checks"": [
    ""Leaver accounts should not appear as active in C3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C7,5.2,Token/certificate inventory and lifecycle,Token Management,M,Spreadsheet + Process,"{
  ""sufficiency_criteria"": [
    ""Complete inventory of ALL tokens used for SWIFT operations:"",
    ""- Connected tokens: USB tokens, smart cards"",
    ""- Disconnected tokens: TOTP generators, RSA SecurID, Digipass, 3-Skey Digital"",
    ""- Software tokens: mobile apps storing cryptographic keys"",
    ""- PED devices and PED keys for HSM operations"",
    ""Per token: token ID/serial, type, assigned person, assignment date, status (active/revoked/lost)"",
    ""Assignment and distribution process: controlled with documented approval"",
    ""Annual review of token assignments: date, reviewer, findings"",
    ""Revocation process: tokens recalled when individual no longer needs access"",
    ""Token supervision policy: not left plugged in unattended"",
    ""PED key management: stored in safe, access tracked, PIN changed when staff leaves"",
    ""Remote PED security: connection to HSM secured per Alliance Security Guidance""
  ]
}","{
  ""pass_if"": [
    ""All tokens inventoried with assignment records"",
    ""Annual review completed with findings"",
    ""Revocation process documented and executed"",
    ""PED key management with safe storage and access logging""
  ],
  ""fail_if"": [
    ""Tokens without assigned owner"",
    ""No annual review evidence"",
    ""Revoked tokens not recalled"",
    ""PED keys accessible without tracking""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A1,2.5A,Network architecture diagram,External Transmission Data Protection,A,Diagram + Text,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.5A)"",
    ""External transmission paths for SWIFT operations shown where documented"",
    ""Backup/replication paths from secure zone to external storage locations shown if available"",
    ""Data extraction paths for offline processing identified if applicable"",
    ""Paths between data centres or on-prem to cloud environments shown where applicable"",
    ""SAN/NAS connectivity from secure zone visible if used for SWIFT data""
  ]
}","{
  ""pass_if"": [
    ""External transmission paths documented where applicable (advisory \u2014 not required for v2025 pass)"",
    ""Backup/replication paths shown if operational backups exist""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory""
  ],
  ""notes"": [
    ""Advisory control in v2025"",
    ""Cross-check: encryption on external paths confirmed in B3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C8,5.4,Credential storage evidence,Password Repository Protection,M,Config / Process,"{
  ""sufficiency_criteria"": [
    ""Password repository protection method documented for all mandatory in-scope credential types:"",
    ""Physical protection: sealed tamper-evident envelopes in a certified safe; access logged"",
    ""Logical protection: credentials encrypted at rest (no plain text); authenticated access required; access logging per Control 6.4"",
    ""Mandatory scope (v2025) covers: dedicated/general-purpose operator PCs, jump server, SWIFT components (interfaces, GUI, Swift/customer connectors), HSM and related tokens, network devices, virtualisation/cloud platform, SwiftNet Online Operations Manager (O2M) on swift.com"",
    ""Passwords not hardcoded in scripts, code, or operational documents"",
    ""Emergency/controlled-access account process: password changed immediately after every use"",
    ""Advisory scope (v2025): bridging server credentials, customer client connector credentials \u2014 noted positively if included"",
    ""Note (v2025): Luna Backup HSM is NOT explicitly named in v2025 Controls 3.1/5.4 \u2014 becomes explicit in v2026""
  ]
}","{
  ""pass_if"": [
    ""Credentials encrypted at rest for digital credential store"",
    ""Authenticated access with full access logging in place"",
    ""Physical passwords in sealed tamper-evident envelopes in certified safe"",
    ""Emergency/controlled-access password change process documented and executed after use"",
    ""O2M (swift.com) account passwords covered in repository scope"",
    ""No hardcoded passwords in scripts or configuration files""
  ],
  ""fail_if"": [
    ""Plain text credential storage"",
    ""Credentials hardcoded in scripts or code"",
    ""No access logging on credential repository"",
    ""Credentials stored in shared spreadsheets or documents"",
    ""Emergency password not changed after use""
  ],
  ""notes"": [
    ""vTPM backup credentials included where applicable"",
    ""Luna Backup HSM credentials: not explicitly mandatory in v2025 \u2014 include if device is in use""
  ],
  ""cross_checks"": [
    ""Credential repository access logs must be captured in E7 admin monitoring""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
C9,5.3A,Personnel vetting records,Staff Screening Process,A,Records / Process,"{
  ""sufficiency_criteria"": [
    ""Screening process documented for ALL staff with operational/admin access to SWIFT systems:"",
    ""- Employees, agents, consultants, contractors"",
    ""- Initial screening and periodic re-screening (at least every 5 years)"",
    ""Initial screening verifications:"",
    ""- Identity verification"",
    ""- Qualification confirmation"",
    ""- Employment history confirmation"",
    ""- Civil/criminal proceedings check"",
    ""- Conflict of interest validation"",
    ""- Financial credit verification"",
    ""Periodic screening verifications:"",
    ""- Pending civil/criminal proceedings"",
    ""- Conflict of interest re-validation"",
    ""Screening records maintained with: screening date, verification type, result, next screening due date"",
    ""Catch-up plan for staff not yet screened who are already in role"",
    ""Compliance with applicable laws and local regulations documented""
  ]
}","{
  ""pass_if"": [
    ""Screening process documented"",
    ""Initial screening covers all 6 verifications"",
    ""Periodic screening within 5-year cycle"",
    ""Records maintained with due dates""
  ],
  ""fail_if"": [
    ""No screening process"",
    ""Staff in role >5 years without screening"",
    ""Missing key verifications (no criminal check)""
  ],
  ""notes"": [
    ""Advisory control — subject to local laws and regulations""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
D1,2.2,Patch management policy,Security Updates,M,Policy Document,"{
  ""sufficiency_criteria"": [
    ""Documented patch management policy covering:"",
    ""\u2014 Vendor support lifecycle monitoring: all software/hardware within active vendor support window"",
    ""\u2014 SWIFT mandatory updates: installed within vendor-specified deadline"",
    ""\u2014 Risk assessment process: vendor criticality, user exposure, mitigating controls, operational impact"",
    ""\u2014 Deployment timelines by criticality: Critical (CVSS 9.0+) \u22641 month; High (CVSS 7.0\u20138.9) \u22643 months; Low/Medium user-defined"",
    ""\u2014 Source and integrity validation: legitimate source verified, checksum validated before applying patches"",
    ""\u2014 Testing process before production deployment"",
    ""\u2014 Emergency patching procedure for zero-day vulnerabilities"",
    ""Mandatory scope (v2025): servers, operator PCs, jump servers, network devices, HSM, virtualisation/cloud platform"",
    ""Advisory scope (v2025): bridging servers explicitly included in scope from v2026 \u2014 positive to include in v2025"",
    ""Customer client connectors: advisory in-scope in v2025""
  ]
}","{
  ""pass_if"": [
    ""Policy exists with criticality-based patching timelines"",
    ""Vendor support lifecycle monitoring included"",
    ""Source validation required before patching"",
    ""All mandatory component types in scope""
  ],
  ""fail_if"": [
    ""No patch management policy"",
    ""No criticality-based timelines"",
    ""No source validation requirement"",
    ""Mandatory component types missing from scope""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
D2,2.2,Current patch levels,Security Updates,M,Report / Export,"{
  ""sufficiency_criteria"": [
    ""Current patch status per mandatory in-scope system showing:"",
    ""\u2014 System hostname/IP (matching A2 inventory)"",
    ""\u2014 OS name and version: confirmed within vendor active support lifecycle"",
    ""\u2014 Last patch date and patch level applied"",
    ""\u2014 Outstanding patches: list with reason (testing, compatibility, risk-accepted)"",
    ""\u2014 SWIFT application version and mandatory update status"",
    ""\u2014 Maintenance/licensing contract status: active/expired"",
    ""Summary: % of systems fully patched; systems with critical patches outstanding; systems approaching end-of-support"",
    ""CSCF timeline compliance: critical patches applied within 1 month; high within 3 months"",
    ""Note (v2025): bridging servers and customer client connectors are advisory scope \u2014 inclusion earns positive credit""
  ]
}","{
  ""pass_if"": [
    ""All mandatory A2 systems have patch status documented"",
    ""All software within active vendor support lifecycle"",
    ""Critical patches applied within 1-month SLA"",
    ""SWIFT mandatory updates applied within vendor-specified deadline""
  ],
  ""fail_if"": [
    ""Critical patches outstanding >1 month"",
    ""Systems running end-of-support software"",
    ""SWIFT mandatory updates overdue"",
    ""Mandatory systems in A2 missing from patch report""
  ],
  ""cross_checks"": [
    ""System list must match A2 inventory; gaps require justification""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
D4,2.7,Vulnerability scan reports,Vulnerability Scanning,M,Scan Reports,"{
  ""sufficiency_criteria"": [
    ""Vulnerability scan results covering ALL mandatory in-scope systems in v2025:"",
    ""\u2014 Dedicated and general-purpose operator PCs"",
    ""\u2014 Jump servers"",
    ""\u2014 All systems hosting SWIFT components (interfaces, GUI, connectors)"",
    ""\u2014 Virtualisation/cloud platform management systems"",
    ""Scan tool identified: reputable vendor; vulnerability profiles updated within 1 month before scan"",
    ""Scan type appropriate: authenticated (credential-based) scanning preferred over unauthenticated"",
    ""Scan frequency: at least annually AND after significant environment changes"",
    ""Per-vulnerability detail: CVE ID, severity (CVSS score), affected system, description, remediation recommendation"",
    ""Scan coverage validation: systems scanned count vs A2 inventory count"",
    ""Advisory scope (v2025): bridging servers and customer client connectors \u2014 positive to include"",
    ""False positive identification and documentation""
  ]
}","{
  ""pass_if"": [
    ""All mandatory in-scope systems scanned (compare count to A2 inventory)"",
    ""Reputable scan tool with profiles updated within 1 month before scan"",
    ""Scan conducted within last 12 months"",
    ""Per-vulnerability details documented with CVE IDs and CVSS scores""
  ],
  ""fail_if"": [
    ""Mandatory in-scope systems missing from scan scope"",
    ""Scan older than 12 months without justification"",
    ""Unreputable or unknown scan tool"",
    ""No per-vulnerability detail (only summary)""
  ],
  ""cross_checks"": [
    ""System count must match A2 inventory; remediation tracked in D5""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
D5,2.7,Vulnerability remediation tracking,Vulnerability Scanning,M,Tracking Log,"{
  ""sufficiency_criteria"": [
    ""Tracking log for ALL identified vulnerabilities from D4 scans:"",
    ""- Vulnerability ID (CVE), affected system, severity (CVSS score)"",
    ""- Current status: open, in progress, remediated, risk-accepted"",
    ""- Remediation action: patch applied, config change, compensating control, risk acceptance"",
    ""- Timeline: date identified, target remediation date, actual remediation date"",
    ""- Owner/responsible team assigned"",
    ""Critical findings (CVSS 9.0+): resolution evidence within 1 month"",
    ""High findings (CVSS 7.0-8.9): resolution evidence within 3 months"",
    ""Risk-accepted vulnerabilities: formal risk acceptance with approver, justification, review date"",
    ""Summary metrics: total open, critical open, average time to remediate""
  ]
}","{
  ""pass_if"": [
    ""All D4 scan findings tracked with status"",
    ""Critical findings resolved within 1 month"",
    ""Risk acceptances formally documented with approval"",
    ""Owner assigned per vulnerability""
  ],
  ""fail_if"": [
    ""Scan findings not tracked"",
    ""Critical vulnerabilities open >1 month"",
    ""Risk acceptance without formal approval"",
    ""No owner assigned to findings""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
D5,7.3A,Vulnerability remediation tracking,Penetration Testing,A,Tracking Log,"{
  ""sufficiency_criteria"": [
    ""Tracking log for ALL penetration test findings from D6 reports:"",
    ""- Finding ID, severity, description, affected component"",
    ""- Current status: open, in progress, remediated, risk-accepted"",
    ""- Remediation action taken with evidence"",
    ""- Retest results confirming successful remediation"",
    ""- Timeline: finding date, remediation date, retest date"",
    ""High/critical findings: prioritised remediation with evidence"",
    ""Findings feeding back into security update process""
  ]
}","{
  ""pass_if"": [
    ""All pen test findings tracked"",
    ""High/critical findings remediated with retest"",
    ""Retest confirms resolution""
  ],
  ""fail_if"": [
    ""Pen test findings not tracked"",
    ""High/critical findings unresolved without justification""
  ],
  ""notes"": [
    ""D6 = pen test report; D5 = remediation tracking""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
